Node	CRUD	DataFlowValue
r8 = $r12	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12]
return	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7]
virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void doSessions(org.apache.catalina.util.ContextName,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.apache.tomcat.util.res.StringManager)>(r6, r1, r2, r3)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2]
$r17 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15, $r16]
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	U	[r0, r1, r2, $r9, r3]
$r10 = new org.apache.catalina.util.ContextName	C	[r0, r1, r2, $r9, r3, r4, r5, r6]
$r18 = virtualinvoke r8.<java.lang.Exception: java.lang.String toString()>()	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $r12, r8, $r13, $r14, $r15, $r16, $r17]
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	U	[r0, r1, r2, $r9, r3, r4]
if $z4 != 0 goto $r19 = newarray (java.lang.Object)[1]	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4]
$z8 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	U	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3, $z4, $z5, $z6, $z7]
$r19 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0, $z1, $z2, $z3]
if $z0 != 0 goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r7, r3)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7, $z0]
if r4 == null goto virtualinvoke r0.<org.apache.catalina.manager.HTMLManagerServlet: void list(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,org.apache.tomcat.util.res.StringManager)>(r1, r2, r7, r3)	R	[r0, r1, r2, $r9, r3, r4, r5, r6, r7]
