Node	CRUD	DataFlowValue
$r14 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("version")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, $r13]
r6 = $r13	U	[r0, r1, r2, $r12, r3, r4, r5, r6, $r13, $r14]
$r13 = new org.apache.catalina.util.ContextName	C	[r0, r1, r2, $r12, r3, r4, r5, r6]
r7 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployPath")	U	[r0, r1, r2, $r12, r3, r4, r5, r6]
$z4 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/expire")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3]
r8 = $r15	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, $r15, $r16]
return	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11]
r10 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("deployWar")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9]
$z5 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/start")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1, $z2, $z3, $z4]
r4 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getPathInfo()>()	U	[r0, r1, r2, $r12, r3]
r5 = interfaceinvoke r1.<javax.servlet.http.HttpServletRequest: java.lang.String getParameter(java.lang.String)>("path")	U	[r0, r1, r2, $r12, r3, r4]
if $z1 == 0 goto $z2 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/reload")	R	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0, $z0, $z1]
r11 = ""	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10]
$z0 = virtualinvoke r4.<java.lang.String: boolean equals(java.lang.Object)>("/upload")	U	[r0, r1, r2, $r12, r3, r4, r5, r6, r7, r8, r9, r10, r11, $i0]
