Node	CRUD	DataFlowValue
specialinvoke $r53.<java.lang.StringBuilder: void <init>(java.lang.String)>("ManagerServlet.undeploy[")	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r47)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7, $z8, $r46, $r47]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r20)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $r18, $r19, $r20]
$r49 = newarray (java.lang.Object)[1]	C	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2]
r5 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	U	[r0, r1, r2, r3, $i0, $z0, r4]
if $z4 != 0 goto $z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z4]
$r58 = virtualinvoke r52.<java.lang.Throwable: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r51, r52, $r53, $r54, $r55, $r56, $r57]
goto [?= return]	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r49, $r50]
$r12 = new java.lang.StringBuilder	C	[r0, r1, r2, r3, $i0]
$r32 = virtualinvoke $r31.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31]
