Node	CRUD	DataFlowValue
$r34 = interfaceinvoke r6.<org.apache.catalina.Container: java.lang.String getName()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r32, $r33]
$r32 = new java.io.File	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
r12 = interfaceinvoke $r11.<javax.servlet.ServletConfig: java.lang.String getInitParameter(java.lang.String)>("debug")	U	[r0, $r7, $r8, n0, $r11]
$r10 = virtualinvoke $r1.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noWrapper")	U	[r0, $r7, $r9, $r1]
specialinvoke $r26.<java.io.File: void <init>(java.lang.String)>(r3)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26]
specialinvoke $r35.<java.io.File: void <init>(java.io.File,java.lang.String)>($r36, $r37)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r35, $r36, $r37]
r2 = $r13	U	[r0, $r7, $r8, n0, $r13]
r5 = r4	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $z1]
return	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1]
$r8 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Context context>	U	[r0, $r7]
$r39 = r0.<org.apache.catalina.manager.ManagerServlet: javax.management.ObjectName oname>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38]
if r6 == null goto (branch)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6]
$r15 = interfaceinvoke $r14.<org.apache.catalina.Host: org.apache.catalina.Container getParent()>()	U	[r0, $r7, $r8, n0, $r14]
goto [?= $r14 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>]	R	[r0, $r7, $r8, n0, $r11, r12, $i0]
$r41 = virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40]
specialinvoke $r30.<java.io.File: void <init>(java.lang.String,java.lang.String)>($r31, "conf")	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31]
$r26 = new java.io.File	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3]
$r25 = (org.apache.catalina.Host) $r24	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r42)	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40, $r41, $r42]
$r33 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $r32]
if r18 == null goto $r20 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: javax.servlet.ServletContext getServletContext()>()	R	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18]
r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global> = $r19	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r19]
$r43 = r0.<org.apache.catalina.manager.ManagerServlet: javax.naming.Context global>	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4, r5, r6, $i1, $r38, $r39, $r40, $r41, $r42]
$r30 = new java.io.File	C	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0]
r5 = null	U	[r0, $r7, $r8, n0, $r14, $r15, $r16, $r17, r18, $r20, $r21, $r22, $r23, $r24, $r25, r3, $r26, $r27, $z0, $r30, $r31, r4]
$r17 = interfaceinvoke $r16.<org.apache.catalina.Engine: org.apache.catalina.Service getService()>()	U	[r0, $r7, $r8, n0, $r14, $r15, $r16]
