start	end	CRUD_Test
r29 = (org.apache.catalina.core.StandardHost) $r28	if r29 != null goto $r32 = newarray (java.lang.Object)[1]	1
if r29 != null goto $r32 = newarray (java.lang.Object)[1]	$r30 = newarray (java.lang.Object)[1]	0
if r29 != null goto $r32 = newarray (java.lang.Object)[1]	$r32 = newarray (java.lang.Object)[1]	0
$r30 = newarray (java.lang.Object)[1]	$r30[0] = r2	1
$r30[0] = r2	$r31 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.remove", $r30)	1
$r31 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.remove", $r30)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r31)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r31)	goto [?= return]	0
goto [?= return]	return	0
$r32 = newarray (java.lang.Object)[1]	$r32[0] = r2	1
$r32[0] = r2	$r33 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.removeFailed", $r32)	1
$r33 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("hostManagerServlet.removeFailed", $r32)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r33)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r33)	return	0
