start	end	CRUD_Test
goto [?= $z1 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()]	$z1 = interfaceinvoke r55.<java.util.Iterator: boolean hasNext()>()	0
$r56 = interfaceinvoke r55.<java.util.Iterator: java.lang.Object next()>()	r57 = (java.lang.management.MemoryPoolMXBean) $r56	1
r57 = (java.lang.management.MemoryPoolMXBean) $r56	r58 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryUsage getUsage()>()	1
r58 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryUsage getUsage()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<tr><td>")	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<tr><td>")	$r59 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	0
$r59 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r59)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r59)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	$r60 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryType getType()>()	0
$r60 = interfaceinvoke r57.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryType getType()>()	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r60)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.Object)>($r60)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	$l4 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getInit()>()	0
$l4 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getInit()>()	$r61 = staticinvoke <java.lang.Long: java.lang.Long valueOf(long)>($l4)	1
$r61 = staticinvoke <java.lang.Long: java.lang.Long valueOf(long)>($l4)	$r62 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r61, 1)	1
$r62 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String formatSize(java.lang.Object,boolean)>($r61, 1)	virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r62)	1
virtualinvoke r0.<java.io.PrintWriter: void print(java.lang.String)>($r62)	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	0
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("</td><td>")	$l5 = virtualinvoke r58.<java.lang.management.MemoryUsage: long getCommitted()>()	0
