start	end	CRUD_Test
if $z1 == 0 goto interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	$r23 := @caughtexception	0
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	1
$r19 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String)>("managerServlet.noSelf")	$r23 := @caughtexception	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	return	0
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	$r23 := @caughtexception	0
interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	$r20 = newarray (java.lang.Object)[1]	0
interfaceinvoke r4.<org.apache.catalina.Context: void reload()>()	$r23 := @caughtexception	0
$r20 = newarray (java.lang.Object)[1]	$r21 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	1
$r20 = newarray (java.lang.Object)[1]	$r23 := @caughtexception	1
$r21 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r20[0] = $r21	1
$r21 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getDisplayName()>()	$r23 := @caughtexception	1
$r20[0] = $r21	$r22 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.reloaded", $r20)	1
$r20[0] = $r21	$r23 := @caughtexception	1
$r22 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.reloaded", $r20)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r22)	1
$r22 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.reloaded", $r20)	$r23 := @caughtexception	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r22)	goto [?= return]	0
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r22)	$r23 := @caughtexception	0
goto [?= return]	return	0
$r23 := @caughtexception	r24 = $r23	0
