,target_c,targetFQCN_c,teaching_c,step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c
76,org.apache.catalina.manager.StatusTransformer_writeFooter,org.apache.catalina.manager.StatusTransformer,1,10,5,0.1,0.138888889,0.444444444,0.000184266,68746.44841,0.082642001,0.247824677,16.69444444
77,org.apache.catalina.manager.StatusTransformer_writeHeader,org.apache.catalina.manager.StatusTransformer,1,14,5,0.142857143,0.08974359,0.307692308,4.38E-05,60456.01512,0.062599743,0.189256825,71.3974359
78,org.apache.catalina.manager.StatusTransformer_writeJspMonitor,org.apache.catalina.manager.StatusTransformer,2,28,5,0.5,0.03988604,0.148148148,1.01E-06,21738.63285,0.033335335,0.098165206,4302.769231
79,org.apache.catalina.manager.StatusTransformer_writeOSState,org.apache.catalina.manager.StatusTransformer,20,106,5,0.641509434,0.012125372,1.202928392,1.92E-09,17538.98704,0.010318447,0.120417706,586569.3627
80,org.apache.catalina.manager.StatusTransformer_writePageHeading,org.apache.catalina.manager.StatusTransformer,2,8,2,0.25,0.142857143,0.285714286,0.000196434,71185.61538,0.08786965,0.210844274,20.28571429
81,org.apache.catalina.manager.StatusTransformer_writeProcessorState,org.apache.catalina.manager.StatusTransformer,1,23,1,0.043478261,0.006308811,1.425577417,8.72E-11,5514.225161,0.005873433,0.356600744,90114.24345
82,org.apache.catalina.manager.StatusTransformer_writeServerInfo,org.apache.catalina.manager.StatusTransformer,2,8,2,0.25,0.142857143,0.285714286,0.000196434,71185.61538,0.08786965,0.210844274,20.28571429
83,org.apache.catalina.manager.StatusTransformer_writeVMState,org.apache.catalina.manager.StatusTransformer,22,213,16,0.65258216,0.005143437,0.366560417,2.38E-10,4757.430152,0.004832961,0.101090337,1413711.809
84,org.apache.catalina.manager.StatusTransformer_writeWrapper,org.apache.catalina.manager.StatusTransformer,15,58,11,0.379310345,0.020265549,0.20405311,3.07E-08,13833.14395,0.017556958,0.081282971,43080.33019
85,org.apache.tomcat.util.DomUtil_findChildWithAtt,org.apache.tomcat.util.DomUtil,1,34,20,0.294117647,0.057971014,1.101449275,8.92E-06,23211.84016,0.03723059,0.175161852,3139.23913
