"","target_c","targetFQCN_c","teaching_c","step_c","ccna_c","idau_c","edge_dencity_c","graph_degree_c","eccentricity_centrality_c","centralization_c","page_rank_c","bonpow_c","betweenness_c"
"48","org.apache.catalina.manager.ManagerServlet_removeServiced","org.apache.catalina.manager.ManagerServlet",1,11,0,0.636363636363636,0.0833333333333333,0.151515151515152,7.11430493881877e-06,62335.864516129,0.0655884694355531,0.0943226733928178,121.333333333333
"49","org.apache.catalina.manager.ManagerServlet_resources","org.apache.catalina.manager.ManagerServlet",1,54,14,0.444444444444444,0.0249768732654949,0.431082331174838,2.02903543491878e-07,29830.4916083916,0.0200596156300709,0.164832881955322,19493.9500462535
"50","org.apache.catalina.manager.ManagerServlet_save","org.apache.catalina.manager.ManagerServlet",1,85,18,0.529411764705882,0.0201923076923077,1.52788461538462,7.70020925188748e-08,23518.7956110155,0.0147857048808499,0.213121257923028,35413.3884615385
"51","org.apache.catalina.manager.ManagerServlet_serverinfo","org.apache.catalina.manager.ManagerServlet",1,68,4,0.367647058823529,0.0394889663182346,14.4785133565621,4.12959933978653e-07,32232.9901639344,0.0228648760050597,0.137906939271521,6312.49941927991
"52","org.apache.catalina.manager.ManagerServlet_setWrapper","org.apache.catalina.manager.ManagerServlet",1,46,4,0.695652173913043,0.0274390243902439,0.410975609756098,1.89533514625208e-07,32760.6584745763,0.0227753591765461,0.123575952008115,12009.2804878049
"53","org.apache.catalina.manager.ManagerServlet_start","org.apache.catalina.manager.ManagerServlet",1,85,13,0.611764705882353,0.0263157894736842,9.26503759398496,1.50386678268939e-07,25960.1647368421,0.0168664122612115,0.175781204410107,38349.9154135338
"54","org.apache.catalina.manager.ManagerServlet_stop","org.apache.catalina.manager.ManagerServlet",1,79,11,0.620253164556962,0.0286647314949202,9.13425253991292,2.47430484626438e-07,27381.2376760563,0.0181104696478171,0.17689021217414,23445.1865021771
"55","org.apache.catalina.manager.ManagerServlet_threadDump","org.apache.catalina.manager.ManagerServlet",1,8,0,0.25,0.111111111111111,0.194444444444444,2.55119067756068e-05,68746.4484126984,0.0808521886269656,0.129488954818185,38.5
"56","org.apache.catalina.manager.ManagerServlet_undeploy","org.apache.catalina.manager.ManagerServlet",1,273,46,0.56043956043956,0.0193394176445024,79.875416485586,4.02655894541063e-08,14489.7881064835,0.00850807483863127,0.195079749973603,385786.193249312
"57","org.apache.catalina.manager.ManagerServlet_undeployDir","org.apache.catalina.manager.ManagerServlet",1,26,11,0.461538461538462,0.0513833992094862,0.383399209486166,2.36706317548103e-06,23803.7564105182,0.0384144474088483,0.171899687859618,3966.08498023715
"58","org.apache.catalina.manager.ManagerServlet_uploadWar","org.apache.catalina.manager.ManagerServlet",1,139,38,0.366906474820144,0.027364185110664,16.0853118712274,3.4710853853454e-08,11164.2750691157,0.0136856393087911,0.387830547055232,78503.6729711603
"59","org.apache.catalina.manager.ManagerServlet_validateContextName","org.apache.catalina.manager.ManagerServlet",1,22,8,0.409090909090909,0.0578947368421053,0.378947368421053,2.21375373485146e-06,49913.9392712551,0.043361892005957,0.187008936592959,557.081578947368
"60","org.apache.catalina.manager.ManagerServlet_vmInfo","org.apache.catalina.manager.ManagerServlet",1,8,0,0.25,0.111111111111111,0.194444444444444,2.55119067756068e-05,68746.4484126984,0.0808521886269656,0.129488954818185,38.5
"61","org.apache.catalina.manager.ManagerServlet_writeDeployResult","org.apache.catalina.manager.ManagerServlet",1,37,12,0.459459459459459,0.0362903225806452,0.451612903225806,6.11127015703304e-07,38420.6329411765,0.0286702604184577,0.142935370089511,2494.34576612903
"62","org.apache.catalina.manager.StatusManagerServlet_destroy","org.apache.catalina.manager.StatusManagerServlet",1,17,1,0.470588235294118,0.128787878787879,2.15151515151515,4.42216798674673e-05,62335.864516129,0.0678763126509353,0.219457103226941,31.219696969697
"63","org.apache.catalina.manager.StatusManagerServlet_doGet","org.apache.catalina.manager.StatusManagerServlet",1,436,27,0.862385321100917,0.00509607742297443,56.71518070036,1.14147826488743e-10,4457.9757816655,0.00341694665175951,0.140172676590447,52686349.0941605
"64","org.apache.catalina.manager.StatusManagerServlet_handleNotification","org.apache.catalina.manager.StatusManagerServlet",1,70,33,0.357142857142857,0.0235849056603774,0.79100145137881,5.68814011258846e-07,27381.2376760563,0.0182123102448642,0.112629770934599,11220.9368650218
"65","org.apache.catalina.manager.StatusManagerServlet_init","org.apache.catalina.manager.StatusManagerServlet",1,145,21,0.662068965517241,0.0261261261261261,56.5765765765766,3.50069539767235e-07,75655.4757369938,0.0137735374183677,0.0606563358109545,213379.272522523
"66","org.apache.catalina.manager.StatusTransformer_filter","org.apache.catalina.manager.StatusTransformer",1,36,9,0.361111111111111,0.0406403940886699,1.064039408867,1.19488174266081e-06,20815.2276995608,0.031620184124727,0.343214158001863,6918.95705665025
"67","org.apache.catalina.manager.StatusTransformer_filterXml","org.apache.catalina.manager.StatusTransformer",1,35,20,0.2,0.0476923076923077,0.966153846153846,2.60579174654924e-06,22186.8380794373,0.0352671171315119,0.197969429445692,7459.38
"68","org.apache.catalina.manager.StatusTransformer_formatSeconds","org.apache.catalina.manager.StatusTransformer",1,19,5,0.578947368421053,0.0620915032679739,0.457516339869281,5.28291507807804e-06,52531.8558558559,0.0479641342963826,0.139443319840147,338.264705882353
"69","org.apache.catalina.manager.StatusTransformer_formatSize","org.apache.catalina.manager.StatusTransformer",1,45,11,0.577777777777778,0.0261324041811847,0.418118466898955,4.57424797522954e-08,32232.9901639344,0.0222343541358702,0.130988620996825,11687.5029036005
"70","org.apache.catalina.manager.StatusTransformer_formatTime","org.apache.catalina.manager.StatusTransformer",1,29,7,0.620689655172414,0.0383597883597884,0.513227513227513,2.90288336359951e-07,41615.4310823312,0.0322432257740977,0.158591261454413,1716.32142857143
"71","org.apache.catalina.manager.StatusTransformer_setContentType","org.apache.catalina.manager.StatusTransformer",1,NA,1,NA,0.160714285714286,0.5,0.000289525208682307,71185.6153846154,0.0896119172860648,0.27010869655791,13.9285714285714
"72","org.apache.catalina.manager.StatusTransformer_writeBody","org.apache.catalina.manager.StatusTransformer",1,8,2,0.25,0.142857142857143,0.285714285714286,0.00019643365258429,71185.6153846154,0.08786965024039,0.210844274378595,20.2857142857143
"73","org.apache.catalina.manager.StatusTransformer_writeConnectorState","org.apache.catalina.manager.StatusTransformer",1,19,2,0.0526315789473684,0.00404730285208373,0.628470246000126,4.85787731879961e-11,5311.0585131401,0.00392577630078131,0.162192992243219,19606553.114526
