step_c,ccna_c,idau_c,edge_dencity_c,graph_degree_c,eccentricity_centrality_c,centralization_c,page_rank_c,bonpow_c,betweenness_c,teaching_c
112,21,0.544642857,0.010455564,0.189693801,1.38E-09,11777.33025,0.009349716,0.065716098,800945.9623,1
5,2,0.2,0.017231638,0.473446328,2.48E-08,12703.18951,0.015933082,0.17790376,31116.97712,1
10,5,0.1,0.138888889,0.444444444,0.000184266,68746.44841,0.082642001,0.247824677,16.69444444,1
14,5,0.142857143,0.08974359,0.307692308,4.38E-05,60456.01512,0.062599743,0.189256825,71.3974359,1
28,5,0.5,0.03988604,0.148148148,1.01E-06,21743.78841,0.033335335,0.098165206,4302.769231,1
106,5,0.641509434,0.012125372,1.202928392,1.92E-09,17538.98704,0.010318447,0.120417706,586569.3627,1
8,2,0.25,0.142857143,0.285714286,0.000196434,71185.61538,0.08786965,0.210844274,20.28571429,1
23,1,0.043478261,0.006308811,1.425577417,8.72E-11,5514.196854,0.005873433,0.356600744,90114.24345,1
8,2,0.25,0.142857143,0.285714286,0.000196434,71185.61538,0.08786965,0.210844274,20.28571429,1
213,16,0.65258216,0.005143437,0.366560417,2.38E-10,4756.715327,0.004832961,0.101090337,1413711.809,1
58,11,0.379310345,0.020265549,0.20405311,3.07E-08,13833.14395,0.017556958,0.081282971,43080.33019,1
34,20,0.294117647,0.057971014,1.101449275,8.92E-06,23211.84016,0.03723059,0.175161852,3139.23913,0
9,4,0.333333333,0.125,0.5,3.49E-05,68746.44841,0.080065008,0.318071792,34.75,0
15,7,0.4,0.082417582,0.593406593,1.18E-05,30203.91667,0.058188876,0.224488933,282.8626374,0
8,4,0.375,0.142857143,0.571428571,3.87E-05,71185.61538,0.086530436,0.359070346,16.83928571,0
11,0,0.363636364,0.083333333,0.151515152,7.11E-06,62335.86452,0.065588469,0.094322673,121.3333333,0
4,0,0.25,0.2,0.3,0.00041434,79659.89674,0.112734609,0.257365354,3.5,0
8,0,0.375,0.111111111,0.194444444,2.55E-05,68746.44841,0.080852189,0.129488955,38.5,0
37,9,0.486486486,0.037298387,0.47983871,1.17E-06,19645.10416,0.028643809,0.163796431,18966.73286,0
9,2,0.333333333,0.125,0.25,9.94E-05,68746.44841,0.081607997,0.216935892,26.75,0
10,0,0.4,0.090909091,0.163636364,1.04E-05,64336.02414,0.070038067,0.103711791,85.8,0
74,15,0.554054054,0.016022827,0.187006146,3.22E-08,11639.32043,0.01411788,0.078734001,44330.46598,0
15,4,0.4,0.082417582,0.285714286,1.79E-05,58685.96591,0.058310394,0.137183759,224.5549451,0
18,2,0.5,0.058823529,0.117647059,3.87E-06,52531.85586,0.047371692,0.093977391,541.2026144,0
9,2,0.333333333,0.125,0.25,6.91E-05,68746.44841,0.080998552,0.186275835,45,0
13,4,0.230769231,0.098484848,0.333333333,3.05E-05,62335.86452,0.065833356,0.15665904,132.5681818,0
31,9,0.64516129,0.041005291,0.248677249,1.43E-06,21273.6183,0.032384261,0.109949412,4369.312169,0
41,14,0.463414634,0.032539683,0.377777778,1.07E-06,18276.5038,0.025711899,0.107535861,9162.180159,0
10,0,0.6,0.090909091,0.163636364,1.04E-05,64336.02414,0.070038067,0.103711791,85.8,0
3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333,0
9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333,0
9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857,0
3,0,0.666666667,0.25,0.333333333,0.001326688,82949.11067,0.121491107,0.341646554,1.333333333,0
9,0,0.555555556,0.160714286,1.357142857,7.41E-05,71185.61538,0.088226177,0.386728909,9.357142857,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
8,0,0.625,0.19047619,1.238095238,0.000109725,73803.52154,0.095821577,0.436535359,5.333333333,0
56,21,0.446428571,0.031410256,1.382051282,2.15E-07,17009.11357,0.023372445,0.342739946,63428.48141,0
45,20,0.466666667,0.035714286,1.171428571,6.85E-07,18229.28585,0.025749443,0.138675596,13450.87857,0
33,13,0.454545455,0.040640394,0.63546798,1.16E-06,20823.27496,0.03143593,0.16372196,4457.672414,0
12,1,0.333333333,0.109090909,0.363636364,3.22E-05,64336.02414,0.070512063,0.22607274,64.16363636,0
